hash,ref_name,version,C++,C/C++ Header,Python,reStructuredText,XML,TypeScript,SVG,Bourne Shell,JSON,YAML,CMake,HTML,Cython,JavaScript,C,Bourne Again Shell,Sass,Java,Assembly,Perl,Markdown,INI,make,Maven,awk,CSS,Ant,Lua,Windows Message File,SWIG,Dockerfile,D,SUM
bd4e047685f36dee93e7ff382dba8aa865f3f11c,refs/tags/v0.26,0.26,963075,356958,155045,94709,82726,60270,54027,50516,41188,28557,14798,12023,10812,9111,13467,3527,1929,2912,1073,3203,829,788,1644,136,95,89,65,60,29,26,3,1,1971940
f5dd7f7c80fac84f40d6a98093b994b440ee23b5,refs/tags/v0.27,0.27,954330,352474,155153,94709,82726,60270,54027,50496,41188,28557,14798,12023,10812,9111,12636,3527,1929,2912,1073,3198,829,788,1652,136,95,89,65,60,29,26,3,1,1957970
546f5dd7079474baf548849744f69fb228015ce5,refs/tags/v0.27.1,0.27.1,954411,352483,155153,94709,82726,60270,54027,50499,41188,28557,14798,12023,10812,9111,12636,3527,1929,2912,1073,3198,829,788,1652,136,95,89,65,60,29,26,3,1,1958063
e9df75f679deb1e016d1b852ad0700e00cffccbb,refs/tags/v0.28,0.28,956837,352666,155715,94709,82726,60270,54027,50356,41188,28557,14798,12023,10812,9111,12692,3527,1929,3051,1073,3198,829,788,1657,136,95,89,65,60,29,26,3,1,1961309
8dcc2dfd3cdbc1c4deced19e5f74e65ac7efb715,refs/tags/v0.28.1,0.28.1,957111,352698,155715,94709,82726,60270,54027,50356,41188,28557,14798,12023,10812,9111,12692,3527,1929,3051,1073,3198,829,788,1657,136,95,89,65,60,29,26,3,1,1961615
fb7b808363414871c8f948885085d0fec82f5198,refs/tags/v0.28.2,0.28.2,957152,352699,155715,94709,82726,60270,54027,50356,41188,28557,14798,12023,10812,9111,12692,3527,1929,3051,1073,3198,829,788,1657,136,95,89,65,60,29,26,3,1,1961657
40073b7d29664468a9d5b05f55c7e798268e3642,refs/tags/v0.29,0.29,958582,352823,156217,94709,82726,60270,54027,50348,41188,28557,14798,12023,10812,9111,13155,3527,1929,3051,1073,3198,829,788,1680,136,95,89,65,60,29,26,3,1,1964191
3a1da5ddd38d773d60ff082e09d4805b61d5265e,refs/tags/v0.29.1,0.29.1,958615,352823,156217,94709,82726,60270,54027,50348,41188,28557,14798,12023,10812,9111,13155,3527,1929,3051,1073,3198,829,788,1680,136,95,89,65,60,29,26,3,1,1964224
2e986fe9ddf1ceffc2056bf6d8ee7f49fbebeaf0,refs/tags/v0.3,0.3,940003,348935,149685,94709,82364,60270,52619,48267,41188,28557,14590,12069,10812,9111,18818,3500,1929,1590,1073,4018,829,788,970,136,95,216,65,60,29,26,3,1,1928141
51c53ae8a3b0a5c8b5e43bc14903f744188aa42c,refs/tags/v0.30,0.30,961106,353526,156244,94709,82726,60270,54027,50513,41188,28557,14798,12023,10812,9111,13352,3527,1929,3051,1073,3198,829,788,1731,136,95,89,65,60,29,26,3,1,1967868
3247543761fa37e1d133695436fc456293cbc8c9,refs/tags/v0.31,0.31,962476,353777,156244,94709,82726,60270,54027,50534,41188,28557,14798,12023,10812,9111,13522,3527,1929,3051,1073,3198,829,788,1758,136,95,89,65,60,29,26,3,1,1969707
7e5018f72cdaa8132e9a00041149b1cb60847560,refs/tags/v0.32,0.32,965688,354525,156271,94709,82726,60270,54027,50431,41188,28557,14798,12023,10812,9111,13612,3527,1929,3051,1073,3198,829,788,1811,136,95,89,65,60,29,26,3,1,1973735
ea8a1eeed2e87ac9a49a00e4cceb02cb18780564,refs/tags/v0.33,0.33,967522,354922,156317,94709,82726,60270,54027,50452,41188,28557,14798,12023,10812,9111,14407,3527,1929,3051,1073,3198,829,788,1857,136,95,89,65,60,29,26,3,1,1976874
e26ee576ec61a5c09add466b21df5607be0adb7f,refs/tags/v0.34,0.34,972410,353942,156321,94709,82726,60270,54027,50476,41188,28557,14798,12023,10812,9111,14438,3527,1929,3051,1073,3198,829,788,1923,136,95,89,65,60,29,26,3,1,1980907
f81483170f4bdcee46ff19cf60600d1a3fbbffb9,refs/tags/v0.35,0.35,977012,354863,156406,96375,82726,60270,54027,50586,41188,28557,14798,12033,10812,9111,13806,3527,1929,3051,1073,3198,829,788,1959,136,95,89,65,60,29,26,3,1,1987705
bb99528e7586567071f90a1fcda36d2387b24c57,refs/tags/v0.36,0.36,977123,354869,156406,96568,82726,60270,54027,50600,41188,28557,14798,12034,10812,9111,13806,3527,1929,3051,1073,3198,829,788,1962,136,95,89,65,60,29,26,3,1,1988033
30bfea53ad0d98372ecf7e6e36ff12156df7ae59,refs/tags/v0.37,0.37,978357,355408,156886,96627,82726,60270,54027,50609,41188,28557,14798,12034,10812,9111,13815,3527,1929,3051,1073,3198,829,788,1973,136,95,89,65,60,29,26,3,1,1990377
6d7f17f6a72f0896724d75debdc73c369b823d03,refs/tags/v0.38,0.38,980710,356610,156909,96614,82726,60270,54027,50620,41188,28557,14798,12109,10812,9111,13815,3527,1929,3011,1073,3198,829,788,1989,136,95,89,65,60,29,26,3,1,1994004
6e0d97d7267e1ebe6771921cdba806d6460cda1b,refs/tags/v0.39,0.39,982228,357068,156842,96620,82726,60270,54027,50654,41188,28557,14798,12109,10812,9111,14047,3500,1929,2817,1073,3198,829,788,2017,136,95,89,65,60,29,26,3,1,1995927
13b1bf7c492003ba2dfa2786ba9ae728a2bfe65f,refs/tags/v0.4,0.4,944331,349996,149685,94709,82364,60270,52619,48334,41188,28557,14590,12069,10812,9111,21563,3500,1929,1590,1073,4041,829,788,944,136,95,216,65,60,29,26,3,1,1936339
80558babc57b99812854ea1236d8ee52bfe889eb,refs/tags/v0.40,0.40,983213,357338,157272,97454,82726,60270,54027,52989,41188,28557,14798,12034,10812,9111,14113,3500,1929,2817,1073,3198,829,788,2041,136,95,89,65,60,29,26,3,1,2001115
847db5a94bb5d9ce10eaab2bbf898ddc8c91c11f,refs/tags/v0.41,0.41,983879,357748,157284,97454,82726,60270,54027,52873,41188,28557,14798,12034,10812,9111,14113,3500,1929,2817,1073,3198,829,788,2049,136,95,89,65,60,29,26,3,1,2002095
311dd1906046891ee21c5c82f61399dddd1b1e7a,refs/tags/v0.42,0.42,987101,356421,157329,97460,82726,60270,54027,53027,41188,28557,14798,12034,10812,9111,14073,3500,1929,2817,1073,3198,829,788,2061,136,95,89,65,60,29,26,3,1,2004179
9036bc69eb18fe4f437e560ab9e8334ff675bb93,refs/tags/v0.42.1,0.42.1,987101,356421,157329,97512,82726,60270,54027,53027,41188,28557,14798,12034,10812,9111,14073,3500,1929,2817,1073,3198,829,788,2062,136,95,89,65,60,29,26,3,1,2004232
04d7bf3792bc71c0bf7d5bb11e08979bcb15ed16,refs/tags/v0.42.2,0.42.2,987122,356426,157329,97512,82726,60270,54027,53027,41188,28557,14798,12034,10812,9111,14073,3500,1929,2817,1073,3198,829,788,2062,136,95,89,65,60,29,26,3,1,2004258
a675bddaa9aefa656d64821f66f035e1e420bf59,refs/tags/v0.43,0.43,988691,357721,157348,97515,82726,60270,54027,53029,41188,28557,14798,12034,10812,9111,14074,3500,1929,2817,1073,3198,829,788,2083,136,95,89,65,60,29,26,3,1,2007168
c05f03ad1949ac23798cd7b3298aee0bbc6c4a08,refs/tags/v0.44,0.44,993598,359592,157348,97922,82726,60270,54027,53038,41188,28557,14798,12034,10812,9111,14074,3500,1929,2817,1073,3198,829,788,2116,136,95,89,65,60,29,26,3,1,2014401
6bc6a4a16840a61f8a1652be7a7fa1902c011478,refs/tags/v0.44.1,0.44.1,993625,359592,157348,97922,82726,60270,54027,53038,41188,28557,14798,12034,10812,9111,14074,3500,1929,2817,1073,3198,829,788,2119,136,95,89,65,60,29,26,3,1,2014431
